# UK-IOT-IXI-2023::S2_employment - scenario S2_employment. NOT ALL OF THESE NUMBERS ARE OBSERVED.
# 627 of 11,236 cells (5.6 %) are ESTIMATED from an allocation proxy and 0 (0.0 %) were moved by the balancing solver.
# Cell-by-cell status is in provenance.csv in this folder; the caveats are in ../../report.md. Quoting a figure from this file without them states an estimate as a measurement.
code,label,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C25,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I561,I562,I563,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,Output
C16,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw",8.090812,0.246129,0.260200,0.013087,18.457388,0.905173,0.564662,5.771128,2.781085,0.277488,4.256341,1.412283,4.727822,5.936597,1.551671,2.749720,5.125973,0.899044,0.820201,0.147743,2.364216,440.489440,1.933052,0.793253,0.649912,2.668134,1.099838,0.697392,1.091954,0.291210,4.777844,2.894299,35.399841,2.094542,2.794699,0.465298,144.648006,4.048438,5.589005,12.131670,132.994197,103.510315,3.558531,0.292737,990.341922,263.218852,1.051632,0.166090,22.913634,5.064086,0.727679,0.251534,0.113260,6.164550,0.214489,5946.465840,2.352847,11.909498,14.852458,1.050575,6.008501,0.754479,1.488988,4.640985,1.229771,2.624525,6.349279,1.481153,2.806940,4.728409,3.038956,2.395708,9.238341,0.885694,8.095730,6.018291,21.635412,0.642724,413.244913,4.493684,2.006155,0.898069,1.560326,4.101077,5.028434,2.648098,4.296186,0.639154,1.516570,0.815374,0.689628,0.220916,266.440064,2.669559,34.624488,95.821833,24.107294,5.717113,6.970749,0.341820,0.725807,2.762093,4.935483,10.813850,59.674007,0.000000,0.001021,1564.307648,0.952713,121.412997,-650.259617,1.152412,552.328773,175.579858,106.566250,11153.000000
C17,Manufacture Of Paper And Paper Products  ,33.779955,1.364302,1.346046,0.020113,12.468945,4.520397,1.390238,130.506844,58.759771,6.574975,32.272996,137.295141,311.860443,234.661411,102.486205,167.862455,7.237086,1.968685,9.964596,2.213105,1.813665,194.667361,99.298744,6.759623,1.136412,185.354931,65.889367,4.623178,2.945875,10.214033,69.324142,12.830334,54.559826,41.177395,7.662907,2.722968,60.781916,53.612641,80.373142,13.728183,70.755832,10.239494,9.344259,1.321728,32.361287,98.154981,1.123486,3.780394,22.718598,73.416402,23.845252,2.153662,1.096449,78.514642,15.228174,259.604500,67.104603,400.275201,505.283465,2.072174,103.010912,6.551058,5.568826,237.690933,151.641067,102.086241,249.062674,58.101081,110.107642,896.778832,55.043271,50.911699,168.405683,111.185460,220.077488,47.653074,214.878241,45.787547,31.066723,87.062649,136.499526,80.660524,1.306937,47.351338,267.595072,212.156958,182.882330,40.022351,44.466295,28.773062,36.634121,11.863649,162.741929,1.389080,783.595126,612.159427,740.920752,219.638835,29.063505,19.506537,76.330532,163.480337,44.714378,5.902225,76.874357,0.000000,4.884082,1371.212524,1.317514,75.588499,-93.186513,-26.241210,1257.637760,579.390965,180.771160,14237.000000
C18,Printing And Reproduction Of Recorded Media  ,15.997488,0.465931,0.313688,0.063319,3.916917,1.374761,1.093047,16.958379,7.835538,0.879818,8.035775,10.964963,29.287992,26.146476,9.852225,15.957299,10.260795,3.038806,2.667002,0.777633,1.731147,23.218394,622.706545,1.194864,1.208973,17.806724,5.736037,1.047474,0.921048,1.008378,8.679349,3.687244,5.657128,5.817785,2.048668,0.493251,13.555647,11.958480,13.509182,10.042390,38.840250,1.934070,2.803497,0.591358,6.497658,39.600740,0.504614,0.452820,7.824593,19.541925,3.895220,0.746150,0.878018,38.372655,1.916778,104.804919,57.311513,461.127054,623.373024,2.448773,21.521220,4.194755,2.737811,36.992854,17.093079,16.268782,26.408965,6.160656,11.675089,1127.948967,48.993196,38.520491,42.475399,13.957463,350.177992,371.934393,265.235915,7.230402,36.698965,15.103300,84.626950,7.760704,4.733945,11.856640,29.231137,21.923077,28.462612,5.504234,9.208418,8.941669,76.084427,2.031407,46.639306,4.802043,935.616159,1130.674626,1196.738132,121.658457,22.678618,66.907480,12.523641,229.360676,8.108605,1.967528,9.802675,0.000000,0.002617,842.958964,1.011408,77.052158,-69.686504,15.226586,265.531671,230.651185,209.696867,10443.000000
C19,Manufacture Of Coke And Refined Petroleum Products  ,1342.994340,36.974704,36.974464,4.996825,1.162850,151.000781,0.084731,69.101967,14.084189,5.003722,41.089725,13.042177,42.075927,14.130132,53.007608,49.124274,10.046741,12.022986,6.004666,0.005689,31.059928,16.123670,16.054022,4.073280,4.022229,0.034217,0.028315,0.102125,134.937309,0.020627,6.244443,65.189423,123.002122,0.120206,0.073600,4.051966,33.268484,5.135803,22.050051,27.157439,22.308334,9.047605,7.173369,3.014317,18.028653,21.055640,3.001398,7.020510,193.926371,150.953613,1.930252,30.226782,67.030532,155.083051,22.007255,2014.835526,607.909397,2883.352857,947.435949,370.334692,1144.665886,1113.138693,6.448980,861.936309,416.827877,61.332096,64.290071,14.997521,28.421875,10.072419,37.248223,111.467114,110.625393,5.249852,208.699801,58.163652,257.742020,42.162310,8.976184,31.620494,9.355143,40.198303,0.693732,281.234659,21.189842,37.062280,39.148243,14.025099,434.124833,58.134300,828.356016,17.001919,207.017518,103.541679,704.356021,486.659790,467.929084,253.326727,31.088396,32.024837,3.078301,79.189849,91.058619,16.000443,130.989455,0.000000,0.000191,4465.643815,0.591183,32.786325,371.707865,0.000000,7228.367644,4028.222626,205.454634,35245.000000
C203,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",35.470199,0.256008,0.249237,0.018349,0.737188,1.443241,0.319033,3.350978,1.990576,0.186315,2.149862,1.083016,2.226263,3.174550,1.287410,2.036461,3.196847,2.937241,0.460740,0.586357,37.222986,163.973966,62.147756,3.700947,1.928984,1.698511,4.050859,2.090906,16.469761,1.367338,8.351533,21.185250,4.435713,1.902369,2.039459,1.510410,35.493882,2.798754,24.554835,62.477288,761.521962,28.050259,7.368758,1.178602,7.166442,3.805780,6.954934,0.149746,43.075377,3.032299,0.405072,0.680211,0.142845,10.133588,0.105967,1089.558188,1.024131,5.951352,5.333917,0.429068,2.233492,0.397482,0.882293,1.808051,0.551819,1.791263,4.566032,1.065159,2.018588,125.677662,1.957529,1.357855,2.919088,0.342263,1.582013,2.133064,13.074953,0.219199,7.243061,21.840982,0.564388,0.316956,0.531822,8.100512,6.674853,5.142674,1.384859,0.386827,0.799026,0.236016,0.268872,0.142079,2.758514,0.900049,74.214301,52.920740,28.402502,29.258156,0.482829,0.294242,0.299195,7.959378,0.594479,1.103412,1.194100,0.000000,0.000255,66.270796,0.427154,31.108655,-256.318717,-26.487036,721.953070,525.310656,94.512657,4074.000000
C204,"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",85.593273,0.693223,0.627009,0.041030,2.437514,2.261857,0.842771,9.123896,5.359092,0.410452,6.353746,2.490577,4.683368,5.889818,3.024619,4.196151,3.296097,2.911427,1.100342,1.136007,12.951199,22.306186,14.445631,2.541807,3.979066,146.646786,2.678094,1.701573,6.751747,1.057578,36.324709,10.111535,5.920642,3.398809,4.353951,1.138226,15.177051,4.162535,5.316060,13.024850,29.309162,1.725930,5.040228,0.496650,2.738629,5.280697,0.387175,0.331293,3.266957,20.820249,1.024346,2.784533,0.897762,24.759026,2.458404,76.759954,2.403602,13.714294,215.146006,0.649746,4.530257,0.924314,1.918153,3.119966,0.920643,4.206669,64.379358,15.018349,28.461347,7.470694,4.781267,3.124021,5.620765,0.530558,7.952410,1.210231,14.482882,0.379868,1.958062,20.838762,1.035382,0.579884,1.186920,12.486743,18.734926,12.785257,4.008798,3.896996,2.041411,0.524744,0.633706,0.381836,145.337875,2.509517,88.655176,181.709400,115.218091,135.814993,4.678247,4.952629,0.553721,14.683548,2.117603,0.705039,205.566509,0.000000,37.363991,3503.048091,3.124649,141.358211,-114.999863,0.551780,1789.313679,1155.620564,453.536419,8988.000000
C205,Manufacture of other chemical products,30.568561,0.927579,0.280808,0.591007,1.866068,17.920216,4.332771,6.941994,6.258259,0.272367,3.238116,5.897121,13.383524,20.422544,7.374582,6.104385,9.073279,5.487781,2.534205,18.182970,209.386252,260.129094,227.361134,7.212958,4.176094,5.921223,7.653061,4.026389,33.037389,2.642666,39.505956,48.550937,67.099510,3.349632,3.339351,2.606487,86.753198,4.481798,7.955791,14.519669,55.906486,2.323521,5.984093,2.111112,11.959835,5.874863,0.459761,0.234435,3.927976,11.060166,1.033169,1.599841,0.828083,4.390205,1.342122,197.497164,3.239278,23.450534,22.220194,0.915984,12.731676,0.634153,1.218846,5.907249,1.384246,7.618561,23.797497,5.551455,10.520590,19.023470,18.924064,4.154548,10.667545,0.973047,6.970544,3.567678,3.450028,0.561917,3.974254,10.443677,1.828145,1.479931,2.982484,125.956918,21.165860,3.988781,8.400991,2.216013,2.732498,1.352319,1.112062,0.474638,55.161501,8.330358,24.777439,19.122980,730.527031,17.751293,1.831309,0.563509,0.713945,3.916558,2.281068,0.741137,7.902905,0.000000,29.064817,257.371681,2.606132,119.220005,-336.366977,-50.824089,2059.858521,1607.018816,235.938830,6681.000000
C20A,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",554.927081,0.661855,0.081514,0.053682,6.865359,4.215797,0.956893,2.695985,0.960460,0.089461,0.765335,0.607042,1.447971,2.192100,0.803317,9.220139,23.522503,6.288896,0.209787,0.867949,8.874612,26.092711,9.105917,7.723933,117.989572,2.207046,8.057282,4.051209,36.960258,8.376123,25.225623,48.658341,10.337804,58.714075,1.643979,0.383765,23.288462,2.459900,4.501240,3.233745,25.664984,0.793383,2.350203,0.193022,2.163481,5.465457,0.623536,0.094766,5.306756,551.717228,1.254994,90.480088,0.238994,2.783852,0.118213,74.044115,1.573615,12.705297,11.154056,0.750980,6.359874,0.296133,0.593235,2.364043,0.705313,0.884797,2.391815,0.557960,1.057393,1.678619,2.958369,3.994818,6.569263,0.552087,4.636604,3.331737,1.571170,0.332611,1.766162,6.909041,0.914782,0.855078,1.683565,17.260028,26.897842,2.650402,4.904494,0.392467,5.277188,0.746024,0.545720,0.888538,7.876094,3.567893,8.722589,5.701304,284.169241,3.438228,8.013746,0.208734,0.305026,1.875590,5.283404,5.197138,2.045100,0.000000,3.910010,538.393345,1.805979,75.847832,-77.048883,0.000000,1066.045601,859.039293,622.279822,5354.000000
C20B,Manufacture of petrochemicals - 20.14/16/17/60,116.628341,0.316895,0.479503,0.113073,2.924494,17.221364,1.121413,19.310745,6.575092,0.751995,15.262229,1.237106,16.257216,20.256348,2.853548,4.341519,83.697208,91.691491,0.534380,5.350631,33.049421,84.034954,29.725890,134.634726,68.207763,23.896814,145.239890,70.611788,682.339494,49.461591,286.632697,847.143116,93.827301,34.694785,6.250768,3.692980,30.287548,35.276830,64.435808,13.890566,305.219704,24.847828,17.715075,1.136151,20.281910,58.874275,2.082219,0.193546,10.840452,14.221329,1.172334,19.291737,3.611283,16.994070,0.553653,168.483177,5.133612,48.818787,45.755897,2.034165,25.658305,6.246710,1.114637,14.806666,1.824412,2.648418,7.648036,1.784126,3.381106,6.044746,5.602622,3.818133,14.846600,1.020109,10.325238,3.579076,5.255312,0.672347,3.514731,12.073295,1.855651,1.593385,3.267619,174.318864,157.888359,3.054815,6.665759,6.165761,3.138220,1.483889,1.746303,0.276891,14.622784,6.267461,31.206752,16.204537,129.537590,9.294024,4.791507,0.493634,0.570258,2.335237,2.551880,1.294521,4.703466,0.000000,96.954127,177.594695,0.913093,80.799150,-172.707004,0.302207,3806.903144,1355.180072,784.346200,10759.000000
C20C,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",1109.419528,0.020132,0.126453,0.002954,0.111144,0.223510,0.073248,0.305635,0.245545,0.017589,0.181949,0.140924,0.292392,0.629184,0.795846,0.276018,0.787161,0.682322,0.059472,0.092416,1.117984,41.461661,1.347643,0.959597,1.987135,0.400370,1.018004,0.516831,4.621660,0.421713,2.184255,5.875521,6.312533,0.994019,0.161407,0.063260,1.118387,0.371938,0.684150,0.953267,9.220033,0.349734,0.321164,0.042782,0.264850,7.454620,0.076246,0.015231,0.563112,7.341321,0.066887,5.938222,0.033813,0.288869,0.013946,12.517540,0.288903,1.783929,1.569161,0.067248,0.949236,0.045893,0.077162,0.371239,0.106602,0.274754,0.799712,0.186556,0.353543,1.398867,5.152551,0.185682,1.567300,0.116006,2.148625,1.282881,0.522720,0.062756,0.243034,0.556050,0.140984,0.118259,0.238792,2.219363,19.505780,0.537206,1.465856,0.063775,0.163200,0.086874,0.075669,0.011596,0.477721,0.544750,25.626892,3.823226,7.172069,0.945185,0.232549,1.577701,0.039775,0.278930,0.197828,0.095269,0.409976,0.000000,0.488791,27.113334,3.587868,126.858444,18.590759,0.000000,492.217529,326.988153,80.432363,2394.000000
C21,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,290.958669,1.223469,3.084446,0.196276,9.142686,7.699002,6.601261,12.157747,10.304955,0.700557,7.757935,7.463116,14.934931,32.014766,20.568289,10.560315,8.520955,3.898000,3.017853,3.083204,32.016135,42.213616,34.911599,4.557233,2.365249,9.487101,3.952461,2.861020,10.807249,1.741889,7679.684615,22.750091,14.870902,7.090193,6.267112,1.737954,30.458221,12.304799,24.489069,99.459164,40.296757,2.578701,7.175459,1.500078,5.638538,41.524605,0.649324,1.678692,16.092894,80.488981,12.560315,3.425900,1.406941,18.634965,3.056608,200.038013,16.444662,75.130433,80.840605,36.996301,33.983611,14.538873,28.492835,40.609057,11.666997,17.159847,44.933410,10.482019,19.864526,8.653845,43.348442,55.141735,48.302400,5.303574,27.230383,14.917773,16.501775,4.743938,20.720370,46.728471,11.994136,8.760038,18.750728,58.083420,186.366342,27.988397,72.070470,660.801407,37.026299,7.538510,7.123749,2.090373,31.609630,58.535143,110.141405,87.275611,2083.881013,77.243927,13.268069,2.667437,7.205493,18.820626,31.498862,7.007917,16.671197,0.000000,10945.962436,1040.171365,34.083249,1218.377309,-621.729467,22.615083,6108.145252,18778.387625,1362.170194,52190.000000
C22,Manufacture Of Rubber And Plastic Products  ,698.286763,1.853501,3.388929,0.955948,13.173478,14.482718,3.525460,495.086671,143.562059,17.479688,397.851214,15.374991,427.956502,490.883502,9.554363,47.855279,778.473378,9.213255,12.557030,1.627126,10.979846,214.862386,117.100544,21.518019,37.861541,171.842100,25.183468,18.377315,33.094470,3.719816,115.827467,56.449937,29.888166,131.734697,19.454318,9.336964,374.350448,243.959876,506.967000,280.721960,2028.518910,34.238225,42.434863,21.881173,115.878667,175.861012,1.779352,0.965711,258.737847,64.854938,5.302587,2.708528,4.321585,418.747325,9.280708,3327.548316,30.158618,330.394012,922.722321,16.488669,383.183951,7.492223,5.376329,267.190543,9.284778,14.078786,49.535337,11.555552,21.898983,73.967493,18.358977,31.505280,58.587175,5.316477,144.387606,31.860706,87.608116,3.155069,27.869087,24.774462,12.090797,4.725050,5.979577,28.384620,42.752165,16.208151,24.044637,5.163928,16.539713,3.261062,5.366156,3.810957,232.655378,12.195843,298.130473,190.669473,631.974497,92.928485,104.022029,4.488540,5.572993,24.436193,25.334086,4.342002,88.649360,0.000000,0.004531,828.104424,5.203392,582.103743,-226.024041,-166.843451,4948.083342,3233.543396,812.916008,26997.000000
C235_6,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",3.525225,0.127657,0.088949,0.021418,1.392103,25.340945,0.631569,2.166724,1.362507,0.136204,1.437818,0.493558,1.542125,9.293766,0.722898,13.720619,8.171204,0.516544,0.178536,0.308170,7.617151,7.988775,4.845424,0.574157,0.530428,1.134610,0.580033,0.541018,0.856920,0.162588,2.533744,4.692923,4.113181,112.652216,8.586924,1.318061,80.686345,2.194755,3.445455,14.240778,34.943845,2.955146,4.008123,0.235305,1.245561,3.058727,0.174540,0.150166,2.788824,3.864966,0.631730,1.927388,3.349296,20.283467,0.094830,7826.516168,2.673217,24.626586,13.211664,1.926706,10.846636,0.359985,0.656163,3.360038,1.108932,2.593672,4.387106,1.023419,1.939487,3.379734,1.928405,1.478635,6.086679,0.451756,3.347415,1.970912,2.646386,0.337061,148.699144,17.784664,0.985373,0.604712,1.418353,6.155243,10.145797,1.346114,2.709380,0.160083,1.619318,0.717831,0.478505,0.111133,5.639465,3.196606,114.995069,123.642012,47.692720,3.476341,12.006674,15.409493,0.261851,29.954782,8.719873,0.189739,3.121517,0.000000,0.004914,160.423919,2.005971,93.525204,-127.790762,-28.785529,244.790186,143.102795,66.438814,9442.000000
C23OTHER,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9",25.034698,0.569238,0.290129,0.047117,4.250858,188.524029,0.957735,10.960361,4.548462,0.493739,8.527031,1.385382,8.631716,141.616814,1.630970,230.586513,137.313329,2.107848,2.628222,0.525490,62.700657,11.183852,6.128290,2.072367,3.204017,3.834106,2.084803,1.453488,5.359363,0.735034,8.450113,41.253671,4.429568,10.435122,122.808317,1.591177,36.651247,7.800301,11.906485,16.951636,244.132661,36.333273,5.498438,0.709723,4.955686,6.409006,0.379809,0.246925,6.917701,22.836759,1.405893,2.161491,0.364942,22.082385,0.297995,3223.261408,17.156437,128.421748,51.564411,4.983497,20.548770,0.706826,1.677743,9.905977,1.611332,32.698055,44.097713,10.287068,19.495074,4.297368,4.755611,6.027278,14.971399,0.931220,10.367598,3.222596,4.261761,0.857807,228.334295,19.332213,3.443467,1.682343,3.805914,12.675980,12.185624,3.971652,5.413438,0.468395,5.995281,1.968424,1.339686,0.809497,8.236846,4.903506,85.111488,92.545776,69.654475,6.787772,16.699535,8.999069,0.679623,3.897793,15.521995,0.794216,49.016980,0.000000,0.005680,801.050151,2.945450,240.201898,69.145569,-26.469817,1078.971614,787.937852,156.431637,8877.000000
C241T243,Manufacture of basic iron and steel,8.461785,3.654525,0.085643,0.177280,44.153536,2.035002,3.841317,6.735643,2.146936,0.138724,4.281832,1.549710,7.137379,8.487879,0.349822,5.500210,20.111449,7.079034,0.516125,0.038049,3.740460,12.148238,4.436523,3.296431,0.543298,3.384173,0.880087,0.765778,1.324682,0.770570,8.235531,6.289575,28.377719,4.567295,11.193466,24.629168,69.419336,54.781897,279.528749,273.344946,2193.441042,53.640785,896.788137,22.362864,113.333181,111.719583,22.198212,0.337072,38.332547,129.739060,5.745451,6.363830,0.066345,707.493578,0.074246,727.631769,4.228554,13.875159,25.151912,1.997285,4.096939,0.253906,0.834509,2.538679,0.360700,1.242247,3.511500,0.819159,1.552392,0.599871,3.583279,18.272533,5.807119,0.313581,4.320486,3.939319,2.188440,0.308874,3.170320,11.711013,0.962491,0.452752,1.227897,46.363541,3.576018,5.245983,1.024816,0.118654,26.594398,0.638568,0.293681,4.280341,25.377503,3.536928,33.368193,6.408560,11.035154,3.181852,4.006161,8.923067,0.779240,7.907803,0.834893,3.469410,0.843592,0.000000,0.000638,330.151531,0.769934,76.334477,-184.703395,-501.381998,2382.334069,1973.614249,39.343714,10379.000000
C244_5,Manufacture of other basic metals and casting,32.199459,0.283743,0.038121,0.028743,5.114491,1.241644,1.227436,2.485964,1.312118,0.135563,1.272611,0.942373,3.147562,3.647131,0.806142,2.745732,2.455420,0.738006,0.138795,0.120440,2.605633,4.057207,2.168056,0.687243,0.567101,3.163749,1.912058,0.755946,26.152976,0.223897,4.010163,61.466299,2.680078,1.918725,61.325864,476.059791,407.469077,75.770923,219.668492,1303.237009,559.265204,23.573923,588.650495,10.571485,39.385581,86.838910,1.281098,8.164569,125.389624,15.665780,1.429592,2.522476,0.065798,14.639603,0.182253,1474.289869,4.983206,20.431781,18.012081,1.641893,13.198278,0.487971,14.169417,4.992155,1.935272,1.260305,2.777352,0.647898,1.227834,3.929073,1.772572,3.149201,3.729254,0.687128,4.414580,1.712327,2.264542,0.473906,2.558106,30.998799,1.656963,0.631164,0.749440,4.300581,13.026309,2.033932,1.624088,0.382913,3.951248,0.757059,0.553783,0.425534,7.673512,3.939082,27.245011,8.196245,16.958030,4.248084,0.583898,3.662812,0.732275,2.217172,0.554577,1.282619,0.992439,0.000000,0.494152,158.592143,2.611397,124.239709,-216.853386,-13075.546546,1829.700467,12163.035643,92.994683,6997.000000
C25,Manufacture of fabricated metal products,319.170625,4.705132,3.621321,0.203296,296.570169,30.766021,98.888018,46.676691,25.873298,2.404789,31.181910,11.156005,65.045203,127.683075,14.799932,114.188748,36.582048,14.577472,6.064675,0.958180,132.353577,95.903829,67.033463,27.808977,7.150585,218.328956,54.763625,42.670330,10.012125,5.763700,279.537284,332.170140,74.868810,135.487314,448.211270,22.728115,1725.392590,357.651559,475.742676,2835.039752,2026.700008,118.049091,772.418905,11.552394,105.646002,461.994067,8.625879,7.847334,347.359418,874.775968,109.647937,40.161670,1.325934,643.840512,2.296448,7333.795983,186.747257,124.007061,321.416387,85.391738,58.252697,17.281266,8.728036,82.997952,12.210602,27.047631,56.714857,13.230383,25.072963,21.796377,26.128027,158.018021,67.698767,15.331663,30.818673,18.144983,49.244249,4.549883,235.581120,28.085425,14.831849,7.855120,19.236687,214.142342,109.677878,17.332927,32.742207,3.703222,120.419845,5.847656,5.887256,8.439158,442.440199,256.659405,1837.074541,122.822295,271.033271,70.589584,7.969686,5.354941,17.607048,43.361746,16.487884,10.524499,21.994429,0.000000,1.718364,3008.526591,14.386876,4491.200416,-545.461164,-400.559857,4541.089342,4273.204752,592.590150,42801.000000
C26,"Manufacture Of Computer, Electronic And Optical Products  ",34.830460,2.092407,2.871347,0.724536,81.898705,38.634244,14.341026,45.694881,22.044227,4.106941,26.326535,14.615855,26.226649,39.190891,27.730174,33.079392,17.816867,11.938771,6.878487,4.664392,38.103524,40.892590,36.519257,26.546901,11.964911,14.423005,12.151767,11.915226,12.423886,7.331041,45.160189,70.166626,42.366166,26.110468,25.980327,9.254847,206.226150,71.856039,498.959762,73.200013,446.099556,28.666512,66.704342,10.142893,29.048922,110.420315,3.430905,10.029247,216.551367,990.192438,144.935836,26.593437,1.341785,72.811878,6.665104,1080.769796,63.922686,199.349524,917.516164,120.376421,84.617056,25.561523,7.583597,158.349040,50.708507,56.227917,94.203472,21.975688,41.646233,30.644119,460.067569,1225.084521,402.259863,19.085762,77.788643,14.534229,43.905928,4.641588,22.248482,137.577216,95.244680,23.201995,59.376389,656.433493,389.406844,188.918344,468.745934,7.019676,180.190576,5.724810,6.624013,30.693976,117.383590,319.115333,2167.453935,574.886588,2232.728054,293.791882,132.667299,23.754380,61.038706,178.578477,118.586186,149.040871,27.700131,0.000000,0.005489,1581.140042,40.732320,1720.436231,-850.503279,136.566951,2995.573119,3051.438629,699.764776,27145.000000
C27,Manufacture Of Electrical Equipment  ,19.829769,2.351469,1.209449,0.104401,36.585305,12.982029,5.608893,18.336658,8.500606,0.984614,11.462570,4.792980,12.173796,17.215605,6.084806,14.546413,16.197078,6.515939,2.483119,0.463631,8.601092,14.246667,8.036894,8.092488,2.915088,6.805123,4.505819,3.506068,5.531535,2.387225,198.014229,20.772027,16.041537,10.380129,15.837425,8.561071,121.308165,74.296166,41.053463,66.398234,106.326701,3.525773,227.323571,2.763650,12.093950,346.702593,1.722532,2.716987,52.820046,1029.070506,52.057557,9.154976,0.738082,71.900321,1.000671,5179.377805,59.575668,45.365781,247.895878,30.958185,61.548685,3.682963,3.420276,34.286779,5.348655,12.684136,27.428656,6.398528,12.125882,4.568474,31.099279,275.091231,31.654205,7.504254,58.085634,9.063556,21.752008,1.672898,23.830264,31.477621,7.914554,3.520839,8.958629,38.831657,71.315360,12.057510,22.854332,1.874745,207.202992,3.242195,2.047005,87.809702,24.673322,26.419899,506.503559,93.731144,152.209998,77.587792,6.780208,8.649644,7.787857,39.022157,9.774664,40.664175,81.262383,0.000000,2.931087,661.176660,10.932152,471.901975,301.814400,-152.609557,2632.634903,2499.359634,268.627633,17221.000000
C28,Manufacture Of Machinery And Equipment N.E.C.  ,83.470138,68.519674,6.583848,3.142149,875.309363,104.515105,74.798966,148.443728,43.729910,5.139182,50.309056,44.529699,130.027809,145.116859,33.025598,130.707869,327.439742,141.737264,14.114246,1.129250,71.109433,218.805660,101.298023,71.208035,18.505594,26.808529,21.771812,19.341466,17.040089,24.647292,150.033114,93.660243,166.856067,94.953518,108.571681,31.052682,369.835686,86.110961,224.466187,206.299106,521.631140,10.051752,124.624363,17.856559,40.531957,141.331293,64.315340,19.627963,344.277422,2959.509809,358.643469,155.502114,3.675137,245.000390,4.985986,3609.893414,258.339030,389.028207,677.543695,227.383159,147.025473,18.570908,11.690622,203.190741,27.886391,63.297994,134.811973,31.448796,59.598768,32.681996,75.486606,638.458078,114.252629,37.162063,65.350321,14.644969,35.964080,9.096871,19.328751,48.734833,27.179866,14.927505,39.919875,171.057425,219.157674,99.463574,46.529021,7.482210,728.256247,12.183885,10.185276,86.112004,403.261055,105.034301,289.559443,109.155070,308.542992,150.934322,10.246301,8.007255,51.744109,203.637790,37.342530,48.401566,45.742174,0.000000,0.016849,2245.000185,24.293730,1214.986491,-1045.657065,-396.889090,9697.760609,12334.340815,768.484309,44593.000000
C29,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ",12.733242,45.603505,0.179363,0.131868,34.619056,22.834541,5.567055,8.613576,4.263976,0.397606,5.451339,1.904717,10.121254,11.258327,2.449760,9.759961,18.648280,5.096931,1.127552,0.263928,5.812366,13.680568,4.360843,3.140045,1.267754,5.295023,1.910293,1.663582,1.486641,0.810805,17.365639,10.368993,12.832418,5.501605,12.616681,2.843847,47.787382,23.807151,18.737450,63.784147,1345.376843,4.447006,22.865212,1.720510,152.280906,41.815587,2.098990,0.581935,24.830803,113.028401,9.912618,9.932782,62.164064,62.803594,0.508030,888.834149,8222.709483,511.995478,480.866971,10.381387,2057.180032,1.794123,3.115868,576.867444,28.079381,5.260054,9.269764,2.162441,4.098052,3.492616,17.658285,197.637259,123.932830,34.936904,128.076308,40.312336,104.800260,3.926396,43.769843,38.445565,10.996332,6.976302,150.856494,74.186910,196.616610,19.050912,25.765041,0.870791,1643.699730,118.120003,3.313850,62.962638,24.643821,19.222161,259.094770,179.196268,199.306453,250.114791,4.270743,6.916747,2.603978,90.401030,7.810077,5.035604,5.266989,0.000000,0.009318,573.162820,38.385565,4124.671475,3415.560482,-54.544685,18680.007030,28040.694344,862.685029,74898.000000
